,BTC,ETH
Mean Return,-0.0003180086027946551,0.0010349944660466787
Sigma,0.02309921109208675,0.039341755810707674
Sharpe,-0.018061870179797285,0.02378612996692017
VaR (95%),-0.036006795461601356,-0.05527735545811822
Max Drawdown,-0.49534255735708127,-0.6219363543988391
Beta (ETH),1.0,1.4338353509548367
